Timestamp, lowerLink1, lowerLink2, lowerLink3, lowerLink4, upperLink1, upperLink2, upperLink3, upperLink4, gripLowerR, gripLowerL, gripUpperR, gripUpperL
6.950008, -1.073517, 1.633262, 0.179215, 1.073954, 0.9219003, -1.361549, 0.15, -0.6020339, -0.05499284, 0.05491877, -0.05499997, 0.0483106, 
7.000009, -1.073447, 1.634169, 0.1792154, 1.074931, 0.9236631, -1.367849, 0.15, -0.6089279, -0.05499186, 0.05491807, -0.05499997, 0.04831516, 
7.050009, -1.07336, 1.63492, 0.1792173, 1.075751, 0.9246057, -1.373365, 0.15, -0.6146526, -0.05499117, 0.05491759, -0.05500002, 0.04830619, 
7.100009, -1.073325, 1.635531, 0.1792179, 1.076432, 0.9251118, -1.378112, 0.1499999, -0.6194174, -0.05499037, 0.05491709, -0.05500006, 0.04830194, 
7.150009, -1.073308, 1.636037, 0.1792181, 1.077008, 0.9254259, -1.382091, 0.15, -0.6233967, -0.05498976, 0.05491666, -0.05500001, 0.04830184, 
7.200009, -1.073395, 1.636421, 0.1792196, 1.077479, 0.9286373, -1.389107, 0.15, -0.6315299, -0.05498879, 0.05491641, -0.05500014, 0.04829781, 
7.25001, -1.073273, 1.636805, 0.179219, 1.07788, 0.9304001, -1.395408, 0.1499999, -0.6384065, -0.05498832, 0.05491605, -0.05499999, 0.04830151, 
7.30001, -1.073185, 1.637119, 0.1792192, 1.078212, 0.9313426, -1.400906, 0.15, -0.6441661, -0.05498799, 0.05491586, -0.05499996, 0.04831026, 
7.35001, -1.073133, 1.637363, 0.1792198, 1.078491, 0.9318662, -1.405583, 0.1499999, -0.6489658, -0.05498768, 0.05491576, -0.05500003, 0.04832225, 
7.40001, -1.073116, 1.637573, 0.1792198, 1.078718, 0.9321978, -1.409528, 0.15, -0.6529626, -0.05498756, 0.05491555, -0.05500004, 0.04833606, 
7.45001, -1.073203, 1.637712, 0.1792212, 1.07891, 0.9354441, -1.416509, 0.15, -0.6611307, -0.05498694, 0.05491547, -0.05499997, 0.0483442, 
7.50001, -1.073081, 1.637887, 0.1792203, 1.079067, 0.9372069, -1.422792, 0.15, -0.6680248, -0.05498673, 0.05491535, -0.055, 0.04835883, 
7.550011, -1.072994, 1.638026, 0.1792204, 1.079207, 0.9381668, -1.428255, 0.15, -0.6738018, -0.05498668, 0.05491541, -0.05500004, 0.04837751, 
7.600011, -1.072959, 1.638131, 0.1792206, 1.079312, 0.9387254, -1.432915, 0.15, -0.6786189, -0.05498671, 0.05491524, -0.05499995, 0.04839834, 
